graph_id,family,split,pair,contract_type,pattern,num_levels,duplicate_vector,sum_options,max_options_per_level,disable_steps_worst,deploy_gas,best_claim_gas,worst_claim_gas,refund_gas,actual_deploy_calldata_bytes,actual_deploy_sstore_count,actual_deploy_call_count,actual_deploy_opcode_steps,actual_best_claim_calldata_bytes,actual_best_claim_sstore_count,actual_best_claim_call_count,actual_best_claim_opcode_steps,actual_worst_path_calldata_bytes,actual_worst_path_sstore_count,actual_worst_path_call_count,actual_worst_path_opcode_steps,actual_refund_path_calldata_bytes,actual_refund_path_sstore_count,actual_refund_path_call_count,actual_refund_path_opcode_steps
holdout_diamond_opt2,diamond,holdout,X2->C|evm|fund:x2c,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_diamond_opt2,diamond,holdout,B->X1|evm|fund:bx1,CTLCOnly,single-level,1,1,1,1,0,1146811,72874,72874,59561,7155,10,0,1462,388,1,1,1475,388,1,1,1475,4,1,1,229
holdout_diamond_opt2,diamond,holdout,X1->C|evm|fund:x1c,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_diamond_opt3,diamond,holdout,D->B|evm|fund:db,CTLCMultipleEdges,multi-level+multi-option,2,1|3,4,3,1,1561879,71641,133204,112464,8361,27,0,4188,324,1,1,1241,552,2,1,2253,40,2,1,524
holdout_diamond_opt3,diamond,holdout,B->X2|evm|fund:bx2,CTLCOnly,single-level,1,1,1,1,0,1146811,72874,72874,59561,7155,10,0,1462,388,1,1,1475,388,1,1,1475,4,1,1,229
holdout_diamond_opt3,diamond,holdout,C->A|evm|fund:ca,CTLCOnly,single-level,1,1,1,1,0,1100963,64620,64620,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
holdout_diamond_opt3,diamond,holdout,B->A|evm|fund:ba,CTLCOnly,single-level,1,1,1,1,0,1100975,64620,64620,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
holdout_diamond_opt3,diamond,holdout,X3->C|evm|fund:x3c,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_diamond_opt3,diamond,holdout,X2->C|evm|fund:x2c,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_diamond_opt3,diamond,holdout,B->X1|evm|fund:bx1,CTLCOnly,single-level,1,1,1,1,0,1146799,72874,72874,59561,7155,10,0,1462,388,1,1,1475,388,1,1,1475,4,1,1,229
holdout_diamond_opt3,diamond,holdout,B->X3|evm|fund:bx3,CTLCOnly,single-level,1,1,1,1,0,1146811,72874,72874,59561,7155,10,0,1462,388,1,1,1475,388,1,1,1475,4,1,1,229
holdout_diamond_opt3,diamond,holdout,X1->C|evm|fund:x1c,CTLCOnly,single-level,1,1,1,1,0,1123887,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_diamond_opt4,diamond,holdout,D->B|evm|fund:db,CTLCMultipleEdges,multi-level+multi-option,2,1|4,5,4,1,1676970,71641,133192,112464,8553,32,0,4845,324,1,1,1241,552,2,1,2253,40,2,1,524
holdout_diamond_opt4,diamond,holdout,X4->C|evm|fund:x4c,CTLCOnly,single-level,1,1,1,1,0,1123899,68735,68735,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_diamond_opt4,diamond,holdout,B->X2|evm|fund:bx2,CTLCOnly,single-level,1,1,1,1,0,1146811,72874,72874,59561,7155,10,0,1462,388,1,1,1475,388,1,1,1475,4,1,1,229
holdout_diamond_opt4,diamond,holdout,C->A|evm|fund:ca,CTLCOnly,single-level,1,1,1,1,0,1100987,64620,64620,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
holdout_diamond_opt4,diamond,holdout,B->X4|evm|fund:bx4,CTLCOnly,single-level,1,1,1,1,0,1146811,72874,72874,59561,7155,10,0,1462,388,1,1,1475,388,1,1,1475,4,1,1,229
holdout_diamond_opt4,diamond,holdout,B->A|evm|fund:ba,CTLCOnly,single-level,1,1,1,1,0,1100987,64620,64620,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
holdout_diamond_opt4,diamond,holdout,X3->C|evm|fund:x3c,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_diamond_opt4,diamond,holdout,X2->C|evm|fund:x2c,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_diamond_opt4,diamond,holdout,B->X1|evm|fund:bx1,CTLCOnly,single-level,1,1,1,1,0,1146799,72874,72874,59561,7155,10,0,1462,388,1,1,1475,388,1,1,1475,4,1,1,229
holdout_diamond_opt4,diamond,holdout,B->X3|evm|fund:bx3,CTLCOnly,single-level,1,1,1,1,0,1146811,72874,72874,59561,7155,10,0,1462,388,1,1,1475,388,1,1,1475,4,1,1,229
holdout_diamond_opt4,diamond,holdout,X1->C|evm|fund:x1c,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_ring_opt1,ring,holdout,C->B|evm|fund:cb,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_ring_opt1,ring,holdout,B->A|evm|fund:ba,CTLCOnly,single-level,1,1,1,1,0,1100987,64620,64620,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
holdout_ring_opt1,ring,holdout,X1->A|evm|fund:x1a,CTLCOnly,single-level,1,1,1,1,0,1100975,64620,64620,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
holdout_ring_opt1,ring,holdout,C->X1|evm|fund:cx1,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_ring_opt1,ring,holdout,D->C|evm|fund:dc,CTLCMultipleEdges,single-level+multi-option,1,2,2,2,0,1285274,75948,75948,59539,7881,15,0,2336,420,1,1,1597,420,1,1,1597,4,1,1,224
holdout_ring_opt2,ring,holdout,X2->A|evm|fund:x2a,CTLCOnly,single-level,1,1,1,1,0,1100975,64608,64608,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
holdout_ring_opt2,ring,holdout,C->B|evm|fund:cb,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_ring_opt2,ring,holdout,B->A|evm|fund:ba,CTLCOnly,single-level,1,1,1,1,0,1100987,64620,64620,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
holdout_ring_opt2,ring,holdout,X1->A|evm|fund:x1a,CTLCOnly,single-level,1,1,1,1,0,1100975,64620,64620,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
holdout_ring_opt2,ring,holdout,C->X2|evm|fund:cx2,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_ring_opt2,ring,holdout,C->X1|evm|fund:cx1,CTLCOnly,single-level,1,1,1,1,0,1123887,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
holdout_ring_opt2,ring,holdout,D->C|evm|fund:dc,CTLCMultipleEdges,single-level+multi-option,1,3,3,3,0,1377429,75948,75948,59539,8041,19,0,2905,420,1,1,1597,420,1,1,1597,4,1,1,224
holdout_ring_opt3,ring,holdout,X2->A|evm|fund:x2a,CTLCOnly,single-level,1,1,1,1,0,1100975,64608,64608,59561,7091,8,0,1286,196,1,1,793,196,1,1,793,4,1,1,229
holdout_ring_opt3,ring,holdout,C->X3|evm|fund:cx3,CTLCOnly,single-level,1,1,1,1,0,1123899,68747,68747,59561,7123,9,0,1374,292,1,1,1134,292,1,1,1134,4,1,1,229
